選挙区,投票区,投票所名称,投票所所在地,投票区区域,緯度,経度
9,51,大泉第二中学校,練馬区東大泉6-21-1,"東大泉5丁目(3,4,6～35,37～40番),東大泉6･7丁目",35.74474386,139.5841425
9,52,大泉第一小学校,練馬区大泉町3-16-23,"大泉町1丁目(33～43,52～58番),大泉町2丁目(12～17,20～63番),大泉町3丁目(1～32,33番<1～12,14,15,17,19～号>34～36,37番<1～4,6,7,14～16,19～号>38～40番,大泉町4丁目(7,10～17番)",35.76515613,139.5992315
9,53,大泉北小学校,練馬区大泉町4-28-22,"大泉町2丁目(4～6,9,18,19番),大泉町4丁目(1～6,8,9,18～49番),大泉町5･6丁目,大泉学園町1丁目(1～19番)",35.76236433,139.5963177
9,54,大泉学園中学校,練馬区大泉学園町4-17-32,"大泉学園町1丁目(20～34番),大泉学園町3丁目(1～4,24番),大泉学園町4丁目,大泉学園町5丁目(1～12,15番<1～3,10～号>,16,17番)大泉学園町6丁目(1,11,12,18番),大泉学園町7丁目(1～8番),大泉学園町8丁目(1～7,15～17番),大泉町3丁目(33番<13,16,18号>,37番<5,8～13,17,18号>)",35.76658861,139.5903905
9,55,大泉第三小学校,練馬区大泉学園町3-22-1,"西大泉3丁目(23～33番),西大泉4丁目,大泉学園町3丁目(5～11,13,17番<32～78号>,18～23番),大泉学園町5丁目(13,14,15番<4～9号>,18～41番),大泉学園町6丁目(2～10,13～17,20～26番)",35.76336689,139.5801642
9,56,大泉西中学校,練馬区西大泉3-19-27,"西大泉3丁目(1～22番),大泉学園町2丁目,大泉学園町3丁目(12,14～16,17番<1～31,79～号>)",35.75830327,139.5805187
9,57,大泉第四小学校,練馬区西大泉1-24-1,"西大泉町(1179番地),西大泉1･2･5･6丁目,南大泉6丁目(11～15番)",35.75527346,139.5732513
9,58,大泉第二小学校,練馬区南大泉4-29-11,"南大泉1･2丁目,南大泉3丁目(1～24番),南大泉4丁目(1～7,22～34,42～46番)",35.74442498,139.5734166
9,59,大泉学園桜小学校,練馬区大泉学園町9-2-2,"大泉学園町6丁目(19,27～31番),大泉学園町7丁目(9～26番),大泉学園町8丁目(8～14,18～36番),大泉学園町9丁目",35.77749521,139.5922351
9,60,大泉第六小学校,練馬区南大泉5-25-29,"南大泉3丁目(25～31番),南大泉4丁目(8～21,35～41,47～55番),南大泉5丁目,南大泉6丁目(1～10,16～22番)",35.75121371,139.5712414
10,61,光が丘第八小学校,練馬区光が丘1-4-1,"田柄4丁目(31～49番),光が丘1丁目",35.76827468,139.6374753
9,62,光が丘四季の香小学校,練馬区高松5-24-1,"旭町1丁目,高松5丁目(13～24番),光が丘5･6丁目",35.76180815,139.6242994
9,63,光が丘春の風小学校,練馬区光が丘7-2-1,"高松5丁目(1～12番),光が丘7丁目",35.75578295,139.6259251
9,64,光が丘第四中学校,練馬区光が丘2-5-1,光が丘2･4丁目,35.76174666,139.6341125
9,65,光が丘第三中学校,練馬区光が丘3-2-1,光が丘3丁目,35.75505103,139.631263
10,66,開進第三中学校,練馬区桜台3-28-1,桜台3丁目,35.74557311,139.6658696
10,67,開進第四小学校,練馬区羽沢2-33-1,"羽沢2･3丁目,氷川台3丁目(1～36番)",35.74801991,139.6721739
9,68,大泉小学校,練馬区東大泉4-25-1,東大泉3･4丁目,35.75145769,139.5844322
10,69,田柄第二小学校,練馬区田柄1-5-27,"田柄1丁目,田柄3丁目(14～30番),田柄5丁目(21～28番)",35.75835789,139.6422117
10,70,練馬小学校,練馬区春日町6‐11‐36,春日町5･6丁目,35.75228171,139.6356656
10,71,石神井台小学校,練馬区石神井台8‐6‐33,"石神井台4丁目(5～9,20･21番),石神井台6丁目(17～19番),石神井台7･8丁目",35.73535052,139.5809482
